word,ADJ,ADP,ADV,CCONJ,NOUN,VERB,X
chloride,0,0,0,0,2,0,0
darken,0,0,0,0,0,1,0
rapidly,0,0,1,0,0,0,0
chemically,0,0,1,0,0,0,0
lie,0,0,0,0,0,1,0
end,0,0,0,0,2,0,0
progression,0,0,0,0,1,0,0
scottish,1,0,0,0,0,0,0
electricity,0,0,0,0,1,0,0
magnetism,0,0,0,0,1,0,0
predict,0,0,0,0,0,1,0
existence,0,0,0,0,1,0,0
disturbance,0,0,0,0,1,0,0
find,0,0,0,0,0,2,0
growth,0,0,0,0,1,0,0
collapse,0,0,0,0,1,0,0
imply,0,0,0,0,0,1,0
confirm,0,0,0,0,0,1,0
battle,0,0,0,0,1,0,0
collection,0,0,0,0,2,0,0
electromagnetism,0,0,0,0,1,0,0
discovery,0,0,0,0,2,0,0
triumph,0,0,0,0,1,0,0
settle,0,0,0,0,0,1,0
period,0,0,0,0,1,0,0
revolutionary,2,0,0,0,0,0,0
usher,0,0,0,0,0,1,0
beginning,0,0,0,0,1,0,0
advent,0,0,0,0,1,0,0
quantum,5,0,0,0,4,0,0
reopen,0,0,0,0,0,1,0
question,0,0,0,0,2,0,0
need,0,0,0,0,0,3,0
german,1,0,0,0,0,0,0
advance,0,0,0,0,1,1,0
blackbody,0,0,0,0,4,0,0
ideal,2,0,0,0,0,0,0
perfectly,0,0,1,0,0,0,0
black,2,0,0,0,0,0,0
specific,4,0,0,0,0,0,0
dependent,1,0,0,0,0,0,0
test,0,0,0,0,1,0,0
increase,0,0,0,0,0,1,0
preferentially,0,0,1,0,0,0,0
maximum,2,0,0,0,0,0,0
emission,0,0,0,0,4,0,0
inversely,0,0,1,0,0,0,0
handle,0,0,0,0,0,1,0
science,0,0,0,0,1,0,0
expand,0,0,0,0,0,1,0
photoelectric,3,0,0,0,0,0,0
electron,0,0,0,0,10,0,0
free,0,0,0,0,0,1,0
current,0,0,0,0,1,0,0
observation,0,0,0,0,1,0,0
independent,1,0,0,0,0,0,0
bundle,0,0,0,0,1,0,0
reintroduce,0,0,0,0,0,1,0
photon,0,0,0,0,1,0,0
origin,0,0,0,0,1,0,0
analysis,0,0,0,0,2,0,0
continuous,4,0,0,0,0,0,0
ordinary,1,0,0,0,0,0,0
depict,0,0,0,0,0,1,0
mixed,1,0,0,0,0,0,0
sun,0,0,0,0,4,0,0
absorption,0,0,0,0,2,0,0
cool,3,0,0,0,0,0,0
outer,1,0,0,0,0,0,0
superimpose,0,0,0,0,0,1,0
inner,1,0,0,0,0,0,0
letter,0,0,0,0,1,0,0
mark,0,0,0,0,0,1,0
spectroscopic,1,0,0,0,0,0,0
gas,0,0,0,0,2,0,0
sodium,0,0,0,0,5,0,0
iron,0,0,0,0,2,0,0
magnesium,0,0,0,0,1,0,0
hydrogen,0,0,0,0,1,0,0
calcium,0,0,0,0,2,0,0
negative,0,0,0,0,1,0,0
expose,0,0,0,0,0,1,0
previously,0,0,1,0,0,0,0
spectral,1,0,0,0,0,0,0
molten,1,0,0,0,0,0,0
unbroken,1,0,0,0,0,0,0
array,0,0,0,0,2,0,0
fine,1,0,0,0,0,0,0
cross,0,0,0,0,0,1,0
chart,0,0,0,0,0,1,0
meaning,0,0,0,0,2,0,0
diagram,0,0,0,0,1,0,0
solar,1,0,0,0,0,0,0
spectroscope,0,0,0,0,1,0,0
vaporize,0,0,0,0,0,1,0
nonluminous,1,0,0,0,0,0,0
flame,0,0,0,0,1,0,0
vapor,0,0,0,0,5,0,0
one,0,0,0,0,1,0,0
position,0,0,0,0,1,0,0
replacement,0,0,0,0,1,0,0
element,0,0,0,0,12,0,0
near,0,1,0,0,0,0,0
middle,0,0,0,0,1,0,0
gaseous,1,0,0,0,0,0,0
quantity,0,0,0,0,1,0,0
identify,0,0,0,0,0,2,0
unknown,1,0,0,0,0,0,0
term,0,0,0,0,1,0,0
distinct,1,0,0,0,0,0,0
unique,1,0,0,0,0,0,0
positively,0,0,2,0,0,0,0
composition,0,0,0,0,1,0,0
body,0,0,0,0,1,0,0
spectra,0,0,0,0,2,0,0
wonder,0,0,0,0,0,1,0
atom,0,0,0,0,5,0,0
heating,0,0,0,0,1,0,0
understandable,1,0,0,0,0,0,0
heavy,1,0,0,0,0,0,0
charge,0,0,0,0,0,2,0
nucleus,0,0,0,0,2,0,0
surround,0,0,0,0,0,1,0
negatively,0,0,1,0,0,0,0
state,0,0,0,0,0,1,0
fix,0,0,0,0,0,1,0
jump,0,0,0,0,0,1,0
useful,1,0,0,0,0,0,0
paradox,0,0,0,0,1,0,0
finally,0,0,1,0,0,0,0
resolve,0,0,0,0,0,1,0
treat,0,0,0,0,0,1,0
role,0,0,0,0,1,0,0
essential,1,0,0,0,0,0,0
chain,0,0,0,0,1,0,0
history,0,0,0,0,1,0,0
harnessing,0,0,0,0,1,0,0
cave,0,0,0,0,1,0,0
dweller,0,0,0,0,1,0,0
invention,0,0,0,0,1,0,0
revolutionize,0,0,0,0,0,1,0
surprise,0,0,0,0,1,0,0
seek,0,0,0,0,0,1,0
subject,0,0,0,0,1,0,0
prominent,1,0,0,0,0,0,0
unresolved,1,0,0,0,0,0,0
notable,0,0,0,0,1,0,0
debate,0,0,0,0,1,0,0
gain,0,0,0,0,0,1,0
consensus,0,0,0,0,1,0,0
ongoing,1,0,0,0,0,0,0
mystery,0,0,0,0,1,0,0
act,0,0,0,0,1,0,0
desperation,0,0,0,0,1,0,0
eventual,1,0,0,0,0,0,0
acceptance,0,0,0,0,1,0,0
duality,0,0,0,0,1,0,0
basis,0,0,0,0,1,0,0
mechanic,0,0,0,0,2,0,0
branch,0,0,0,0,1,0,0
subatomic,1,0,0,0,0,0,0
forefront,0,0,0,0,1,0,0
today,0,0,0,0,1,0,0
