word,ADJ,ADP,ADV,AUX,NOUN,NUM,SCONJ,VERB
fish,0,0,0,0,1,0,0,0
hard,1,0,0,0,0,0,0,0
past,0,0,0,0,1,0,0,0
hardship,0,0,0,0,1,0,0,0
absent,1,0,0,0,0,0,0,0
fear,0,0,0,0,2,0,0,0
wrongly,0,0,1,0,0,0,0,0
implicate,0,0,0,0,0,0,0,1
courageous,1,0,0,0,0,0,0,0
employ,0,0,0,0,0,0,0,1
position,0,0,0,0,2,0,0,0
ward,0,0,0,0,0,0,0,1
dethrone,0,0,0,0,0,0,0,1
difficult,1,0,0,0,0,0,0,0
upbringing,0,0,0,0,1,0,0,0
sensitive,1,0,0,0,0,0,0,0
arise,0,0,0,0,0,0,0,1
persecution,0,0,0,0,1,0,0,0
killing,0,0,0,0,1,0,0,0
thought,0,0,0,0,1,0,0,0
