word,ADJ,ADP,ADV,DET,NOUN,VERB,X
coast,0,0,0,0,2,0,0
eastern,3,0,0,0,0,0,0
seaboard,0,0,0,0,2,0,0
spread,0,0,0,0,2,2,0
combination,0,0,0,0,2,0,0
probable,1,0,0,0,0,0,0
complete,1,0,0,0,0,0,0
substantial,2,0,0,0,0,0,0
heavily,0,0,1,0,0,0,0
populate,0,0,0,0,0,1,0
accelerate,0,0,0,0,0,1,0
antarctic,1,0,0,0,0,0,0
cyclone,0,0,0,0,5,0,0
intense,3,0,0,0,0,0,0
intensity,0,0,0,0,2,0,0
close,1,0,0,0,0,0,0
relationship,0,0,0,0,1,0,0
strength,0,0,0,0,2,0,0
uncertain,1,0,0,0,0,0,0
reliable,1,0,0,0,0,0,0
send,0,0,0,0,0,1,0
apartment,0,0,0,0,1,0,0
cut,0,0,0,0,1,3,0
destructive,1,0,0,0,0,0,0
path,0,0,0,0,1,0,0
dozen,0,0,0,0,1,0,0
kill,0,0,0,0,0,2,0
biodiversity,0,0,0,0,1,0,0
geographic,1,0,0,0,0,0,0
adapt,0,0,0,0,0,3,0
sudden,1,0,0,0,0,0,0
species,0,0,0,0,1,0,0
adaptive,1,0,0,0,0,0,0
ability,0,0,0,0,4,0,0
specie,0,0,0,0,5,0,0
restrict,0,0,0,0,0,2,0
biologist,0,0,0,0,2,0,0
find,0,0,0,0,0,1,0
butterfly,0,0,0,0,1,0,0
northward,0,0,1,0,0,0,0
walrus,0,0,0,0,2,0,0
adversely,0,0,1,0,0,0,0
leave,0,0,0,0,1,1,0
spring,0,0,0,0,3,0,0
lay,0,0,0,0,0,1,0
egg,0,0,0,0,1,0,0
mammal,0,0,0,0,1,0,0
end,0,0,0,0,2,1,0
hibernation,0,0,0,0,1,0,0
migration,0,0,0,0,1,0,0
fish,0,0,0,0,2,0,0
continued,1,0,0,0,0,0,0
threaten,0,0,0,0,0,3,0
seal,0,0,0,0,2,0,0
western,4,0,0,0,0,0,0
reproductive,1,0,0,0,0,0,0
success,0,0,0,0,2,0,0
accord,0,0,0,0,0,3,0
third,0,0,0,0,1,0,0
go,0,0,0,0,0,2,0
ongoing,1,0,0,0,0,0,0
marine,1,0,0,0,0,0,0
supply,0,0,0,0,5,0,0
redistribution,0,0,0,0,1,0,0
algae,0,0,0,0,1,0,0
plankton,0,0,0,0,1,0,0
feed,0,0,0,0,0,1,0
organism,0,0,0,0,1,0,0
krill,0,0,0,0,2,0,0
penguin,0,0,0,0,1,0,0
extinction,0,0,0,0,2,0,0
fifth,0,0,0,0,2,0,0
prepare,0,0,0,0,0,2,0
climb,0,0,0,0,0,1,0
forestry,0,0,0,0,2,0,0
infrastructure,0,0,0,0,4,0,0
evident,1,0,0,0,0,0,0
mid,1,0,0,0,0,0,0
growing,0,0,0,0,3,0,0
modestly,0,0,1,0,0,0,0
boost,0,0,0,0,0,1,0
surpass,0,0,0,0,0,1,0
productivity,0,0,0,0,2,0,0
production,0,0,0,0,3,0,0
negatively,0,0,1,0,0,0,0
accompany,0,0,0,0,0,1,0
famine,0,0,0,0,1,0,0
hurt,0,0,0,0,0,1,0
farmer,0,0,0,0,2,0,0
practice,0,0,0,0,2,0,0
malnourished,1,0,0,0,0,0,0
mother,0,0,0,0,1,0,0
child,0,0,0,0,1,0,0
face,0,0,0,0,0,4,0
hunger,0,0,0,0,1,0,0
prone,1,0,0,0,0,0,0
mixed,1,0,0,0,0,0,0
advantage,0,0,0,0,4,0,0
suffer,0,0,0,0,0,1,0
beetle,0,0,0,0,1,0,0
infestation,0,0,0,0,1,0,0
fire,0,0,0,0,1,1,0
encourage,0,0,0,0,0,6,0
availability,0,0,0,0,2,0,0
tropic,0,0,0,0,1,0,0
vulnerable,2,0,0,0,0,0,0
pack,0,0,0,0,2,0,0
shrinking,0,0,0,0,1,0,0
snowmelt,0,0,0,0,1,0,0
slow,1,0,0,0,0,0,0
get,0,0,0,0,0,1,0
rely,0,0,0,0,0,1,0
unlike,0,1,0,0,0,0,0
replenish,0,0,0,0,0,2,0
infectious,1,0,0,0,0,0,0
disease,0,0,0,0,2,0,0
carrier,0,0,0,0,1,0,0
insect,0,0,0,0,1,0,0
rodent,0,0,0,0,1,0,0
determine,0,0,0,0,0,2,0
mosquito,0,0,0,0,1,0,0
malaria,0,0,0,0,1,0,0
virus,0,0,0,0,2,0,0
partly,0,0,1,0,0,0,0
outbreak,0,0,0,0,1,0,0
malnutrition,0,0,0,0,1,0,0
case,0,0,0,0,1,0,0
diarrhea,0,0,0,0,1,0,0
cardiorespiratory,1,0,0,0,0,0,0
allergy,0,0,0,0,1,0,0
frequency,0,0,0,0,1,0,0
killer,0,0,0,0,1,0,0
heightened,1,0,0,0,0,0,0
wildfire,0,0,0,0,1,0,0
home,0,0,0,0,1,0,0
dam,0,0,0,0,2,0,0
network,0,0,0,0,1,0,0
facet,0,0,0,0,1,0,0
particular,1,0,0,0,0,0,0
threat,0,0,0,0,2,0,0
poor,1,0,0,0,0,0,0
densely,0,0,1,0,0,0,0
populated,1,0,0,0,0,0,0
limited,2,0,0,0,0,0,0
observed,1,0,0,0,0,0,0
action,0,0,0,0,4,0,0
deal,0,0,0,0,0,2,0
consequence,0,0,0,0,4,0,0
stress,0,0,0,0,0,2,0
argue,0,0,0,0,0,2,0
cycle,0,0,0,0,1,0,0
point,0,0,0,0,0,1,0
uncertainty,0,0,0,0,1,0,0
prediction,0,0,0,0,1,0,0
dire,1,0,0,0,0,0,0
exaggerate,0,0,0,0,0,1,0
unchecked,1,0,0,0,0,0,0
clear,0,0,0,0,0,1,0
farming,0,0,0,0,1,0,0
severely,0,0,1,0,0,0,0
hamper,0,0,0,0,0,1,0
evolve,0,0,0,0,0,1,0
government,0,0,0,0,3,0,0
public,1,0,0,0,0,0,0
relate,0,0,0,0,0,1,0
divide,0,0,0,0,0,1,0
adaptation,0,0,0,0,3,0,0
mitigation,0,0,0,0,5,0,0
respond,0,0,0,0,0,2,0
goal,0,0,0,0,7,0,0
improve,0,0,0,0,0,2,0
community,0,0,0,0,1,0,0
locate,0,0,0,0,0,1,0
immediate,1,0,0,0,0,0,0
require,0,0,0,0,0,5,0
fundamental,1,0,0,0,0,0,0
focus,0,0,0,0,0,1,0
strategy,0,0,0,0,1,0,0
economist,0,0,0,0,2,0,0
consider,0,0,0,0,0,1,0
essential,1,0,0,0,0,0,0
combat,0,0,0,0,0,1,0
put,0,0,0,0,0,1,0
price,0,0,0,0,2,0,0
producer,0,0,0,0,1,0,0
economically,0,0,1,0,0,0,0
idea,0,0,0,0,2,0,0
financial,1,0,0,0,0,0,0
incentive,0,0,0,0,1,0,0
dependence,0,0,0,0,1,0,0
invest,0,0,0,0,0,5,0
technology,0,0,0,0,7,0,0
tax,0,0,0,0,0,1,0
pollute,0,0,0,0,0,1,0
company,0,0,0,0,5,0,0
ton,0,0,0,0,1,0,0
trading,0,0,0,0,4,0,0
set,0,0,0,0,1,7,0
limit,0,0,0,0,2,1,0
buy,0,0,0,0,0,4,0
sell,0,0,0,0,0,3,0
permit,0,0,0,0,3,0,0
share,0,0,0,0,1,0,0
fall,0,0,0,0,0,1,0
target,0,0,0,0,9,0,0
institute,0,0,0,0,0,1,0
multilateral,1,0,0,0,0,0,0
industrialize,0,0,0,0,0,7,0
resource,0,0,0,0,3,0,0
alternative,3,0,0,0,0,0,0
efficient,1,0,0,0,0,0,0
renewable,12,0,0,0,0,0,0
key,0,0,0,0,1,0,0
efficiently,0,0,1,0,0,0,0
mandate,0,0,0,0,0,1,0
appliance,0,0,0,0,1,0,0
biomass,0,0,0,0,3,0,0
material,0,0,0,0,1,0,0
add,0,0,0,0,0,1,0
constantly,0,0,1,0,0,0,0
seek,0,0,0,0,0,1,0
efficiency,0,0,0,0,1,0,0
vehicle,0,0,0,0,1,0,0
hybrid,0,0,0,0,1,0,0
electric,1,0,0,0,0,0,0
motor,0,0,0,0,2,0,0
gasoline,0,0,0,0,1,0,0
replenishable,1,0,0,0,0,0,0
river,0,0,0,0,1,0,0
hydroelectric,2,0,0,0,0,0,0
geothermal,3,0,0,0,0,0,0
tide,0,0,0,0,4,0,0
tidal,2,0,0,0,0,0,0
biofuel,0,0,0,0,2,0,0
station,0,0,0,0,2,0,0
create,0,0,0,0,0,1,0
generate,0,0,0,0,0,3,0
interior,0,0,0,0,1,0,0
beginning,0,0,0,0,1,0,0
consumption,0,0,0,0,2,0,0
wood,0,0,0,0,1,0,0
heating,0,0,0,0,1,0,0
cooking,0,0,0,0,1,0,0
device,0,0,0,0,1,0,0
annually,0,0,1,0,0,0,0
expand,0,0,0,0,0,1,0
adopt,0,0,0,0,0,2,0
proportion,0,0,0,0,1,0,0
derive,0,0,0,0,0,1,0
plan,0,0,0,0,2,0,0
ensure,0,0,0,0,0,1,0
numerous,1,0,0,0,0,0,0
reliance,0,0,0,0,1,0,0
import,0,0,0,0,0,1,0
utility,0,0,0,0,1,0,0
windmill,0,0,0,0,1,0,0
hillside,0,0,0,0,1,0,0
significant,2,0,0,0,0,0,0
barrage,0,0,0,0,3,0,0
difference,0,0,0,0,3,0,0
block,0,0,0,0,0,1,0
recede,0,0,0,0,0,1,0
ebb,1,0,0,0,0,0,0
turbine,0,0,0,0,2,0,0
propeller,0,0,0,0,1,0,0
blade,0,0,0,0,1,0,0
generator,0,0,0,0,1,0,0
enclosure,0,0,0,0,1,0,0
nacelle,0,0,0,0,1,0,0
sequestration,0,0,0,0,2,0,0
factory,0,0,0,0,1,0,0
capture,0,0,0,0,0,1,0
store,0,0,0,0,0,2,0
underground,0,0,1,0,0,0,0
underwater,0,0,1,0,0,0,0
pump,0,0,0,0,0,1,0
reservoir,0,0,0,0,1,0,0
deplete,0,0,0,0,0,1,0
proponent,0,0,0,0,1,0,0
vast,1,0,0,0,0,0,0
safely,0,0,1,0,0,0,0
permanently,0,0,1,0,0,0,0
unproven,1,0,0,0,0,0,0
interest,0,0,0,0,1,0,0
divisive,1,0,0,0,0,0,0
differ,0,0,0,0,0,2,0
responsibility,0,0,0,0,1,0,0
developed,1,0,0,0,0,0,0
group,0,0,0,0,1,0,0
claim,0,0,0,0,0,1,0
dampen,0,0,0,0,0,1,0
economy,0,0,0,0,1,0,0
multinational,1,0,0,0,0,0,0
agreement,0,0,0,0,1,0,0
aim,0,0,0,0,0,1,0
curtail,0,0,0,0,0,1,0
objective,0,0,0,0,1,0,0
convention,0,0,0,0,3,0,0
stabilization,0,0,0,0,1,0,0
dangerous,1,0,0,0,0,0,0
interference,0,0,0,0,1,0,0
deadline,0,0,0,0,1,0,0
discussion,0,0,0,0,1,0,0
negotiation,0,0,0,0,1,0,0
forge,0,0,0,0,0,1,0
landmark,0,0,0,0,1,0,0
conference,0,0,0,0,1,0,0
ratification,0,0,0,0,1,0,0
protocol,0,0,0,0,11,0,0
participate,0,0,0,0,0,2,0
overall,1,0,0,0,0,0,0
approximately,0,0,1,0,0,0,0
receive,0,0,0,0,0,2,0
differentiation,0,0,0,0,1,0,0
fact,0,0,0,0,1,0,0
date,0,0,0,0,2,0,0
worth,0,0,0,0,1,0,0
capita,0,0,0,0,1,0,1
dubious,1,0,0,0,0,0,0
distinction,0,0,0,0,1,0,0
contributer,0,0,0,0,1,0,0
delegation,0,0,0,0,1,0,0
member,0,0,0,0,1,0,0
reach,0,0,0,0,0,1,0
approach,0,0,0,0,4,0,0
program,0,0,0,0,2,0,0
opportunity,0,0,0,0,1,0,0
meet,0,0,0,0,0,3,0
obligation,0,0,0,0,1,0,0
clean,0,0,1,0,0,0,0
allot,0,0,0,0,0,1,0
credit,0,0,0,0,2,0,0
able,1,0,0,0,0,0,0
unable,1,0,0,0,0,0,0
quota,0,0,0,0,1,0,0
fail,0,0,0,0,0,1,0
penalize,0,0,0,0,0,1,0
targeted,1,0,0,0,0,0,0
actual,1,0,0,0,0,0,0
pay,0,0,0,0,0,1,0
penalty,0,0,0,0,1,0,0
storage,0,0,0,0,1,0,0
facility,0,0,0,0,1,0,0
hail,0,0,0,0,0,1,0
step,0,0,0,0,1,0,0
critic,0,0,0,0,1,0,0
question,0,0,0,0,0,1,0
effectiveness,0,0,0,0,1,0,0
forth,0,0,1,0,0,0,0
strict,1,0,0,0,0,0,0
rejection,0,0,0,0,1,0,0
emitter,0,0,0,0,2,0,0
fourth,0,0,0,0,1,0,0
leading,1,0,0,0,0,0,0
refuse,0,0,0,0,0,1,0
mandatory,1,0,0,0,0,0,0
restriction,0,0,0,0,1,0,0
assured,1,0,0,0,0,0,0
opinion,0,0,0,0,1,0,0
proceed,0,0,0,0,0,1,0
support,0,0,0,0,0,1,0
continuation,0,0,0,0,1,0,0
legally,0,0,1,0,0,0,0
bind,0,0,0,0,0,1,0
collective,1,0,0,0,0,0,0
back,0,0,0,0,0,1,0
voluntary,1,0,0,0,0,0,0
encouragement,0,0,0,0,1,0,0
new,1,0,0,0,0,0,0
analysis,0,0,0,0,1,0,0
british,1,0,0,0,0,0,0
worldwide,1,0,0,0,0,0,0
economic,2,0,0,0,0,0,0
aggressive,1,0,0,0,0,0,0
order,0,0,0,0,1,0,0
reasonable,1,0,0,0,0,0,0
threshold,0,0,0,0,1,0,0
sustainable,1,0,0,0,0,0,0
promote,0,0,0,0,0,1,0
opponent,0,0,0,0,1,0,0
corrective,1,0,0,0,0,0,0
cost,0,0,0,0,1,0,0
stem,0,0,0,0,0,1,0
costly,1,0,0,0,0,0,0
